item, sku, size, order_num, date_of_purchase, purchase_price, status, status_update_date
Jordan 13 Retro Obsidian Powder Blue White, 414571-144, 11, 31781025-31680784, Not Set, 193.60, Shipped To StockX, Mon 27 Dec 2021 - 10:03:59 PM
Nike Dunk High Syracuse (2021), DD1399-101, 9.5, 31578146-31477905, Not Set, 193.19, Verified & Shipped, Mon 27 Dec 2021 - 10:04:00 PM
Jordan 14 Retro Winterized Archaeo Brown, DO9406-200, 10.5, 31761599-31661358, Not Set, 213.26, Shipped To StockX, Mon 27 Dec 2021 - 10:52:32 PM
Jordan 5 Retro White Stealth (2021), DD0587-140, 9, 31761785-31661544, Not Set, 202.74, Shipped To StockX, Mon 27 Dec 2021 - 10:52:51 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 6Y, 31804887-31704646, Not Set, 131.14, Order Confirmed, Mon 27 Dec 2021 - 11:57:15 PM
Jordan 13 Retro Gym Red Flint Grey (GS), 884129-600, 6.5Y, 31743519-31643278, Not Set, 139.14, Order Confirmed, Sun 26 Dec 2021 - 05:08:41 PM
adidas Yeezy Boost 700 MNVN Honey Flux, GZ0717, 11, 31459802-31359561, Not Set, 179.11, Refund Issued, Sun 26 Dec 2021 - 09:30:02 PM
Jordan 14 Retro Winterized Archaeo Brown, DO9406-200, 11, 31590844-31490603, Not Set, 212.23, Shipped To StockX, Fri 24 Dec 2021 - 12:51:40 AM
Jordan 6 Retro Carmine 2021 (GS), 384665-106, 7Y, 31301617-31201376, Not Set, 137.14, Verified & Shipped, Fri 24 Dec 2021 - 01:09:31 AM
Jordan 14 Retro Winterized Archaeo Brown, DO9406-200, 7, 31617862-31517621, Not Set, 170.83, Order Confirmed, Fri 24 Dec 2021 - 01:24:04 AM
Jordan 1 Low Team Red (W), DC0774-116, 6W, 31300265-31200024, Not Set, 209.01, Verified & Shipped, Fri 24 Dec 2021 - 01:28:50 AM
Jordan 14 Retro Winterized Archaeo Brown, DO9406-200, 11, 31599490-31499249, Not Set, 212.23, Shipped To StockX, Fri 24 Dec 2021 - 01:33:27 AM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 12, 31481643-31381402, Not Set, 186.50, Verified & Shipped, Fri 24 Dec 2021 - 01:41:38 AM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 11.5, 31473362-31373121, Not Set, 186.50, Arrived At StockX, Fri 24 Dec 2021 - 02:00:40 AM
adidas Yeezy Boost 700 MNVN Blue Tint, GZ0711, 8, 31430559-31330318, Not Set, 203.79, Arrived At StockX, Fri 24 Dec 2021 - 02:46:38 AM
Jordan 5 Retro Bluebird (W), DD9336-400, 9W, 31506080-31405839, Not Set, 186.02, Verified & Shipped, Fri 24 Dec 2021 - 03:04:34 AM
adidas Yeezy Boost 700 MNVN Blue Tint, GZ0711, 8, 31430559-31330318, Not Set, 203.79, Refund Issued, Fri 24 Dec 2021 - 04:03:48 AM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 12, 31471148-31370907, Not Set, 186.50, Arrived At StockX, Fri 24 Dec 2021 - 04:51:02 AM
Jordan 12 Retro Black University Gold, 130690-070, 8, 31207901-31107660, Not Set, 224.34, Verified & Shipped, Fri 24 Dec 2021 - 06:19:44 AM
Jordan 6 Retro Carmine (2021), CT8529-106, 9, 31574130-31473889, Not Set, 229.91, Shipped To StockX, Fri 24 Dec 2021 - 08:33:49 AM
Jordan 6 Retro Carmine (2021), CT8529-106, 8.5, 31473818-31373577, Not Set, 226.78, Arrived At StockX, Fri 24 Dec 2021 - 10:58:38 AM
adidas Yeezy Boost 700 MNVN Honey Flux, GZ0717, 11, 31459644-31359403, Not Set, 191.53, Arrived At StockX, Fri 24 Dec 2021 - 11:26:03 AM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 13, 31481776-31381535, Not Set, 185.47, Verified & Shipped, Fri 24 Dec 2021 - 12:25:26 PM
Jordan 5 Retro White Stealth (2021), DD0587-140, 9.5, 31046857-30946616, Not Set, 208.67, Verified & Shipped, Thu 23 Dec 2021 - 12:03:37 AM
Jordan 13 Retro Obsidian Powder Blue White, 414571-144, 10, 31565763-31465522, Not Set, 178.07, Order Confirmed, Thu 23 Dec 2021 - 12:27:04 AM
Jordan 1 Low Green Toe (GS), 553560-371, 5.5Y, 31543015-31442774, Not Set, 135.14, Verified & Shipped, Thu 23 Dec 2021 - 12:28:00 AM
Jordan 5 Retro Bluebird (W), DD9336-400, 9W, 31506080-31405839, Not Set, 186.02, Shipped To StockX, Thu 23 Dec 2021 - 12:32:07 AM
Jordan 5 Retro Bluebird (W), DD9336-400, 9W, 31506080-31405839, Not Set, 186.02, Arrived At StockX, Thu 23 Dec 2021 - 12:32:10 AM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 11, 31484025-31383784, Not Set, 173.14, Arrived At StockX, Thu 23 Dec 2021 - 01:23:07 AM
Nike Dunk High Syracuse (2021), DD1399-101, 13, 31568691-31468450, Not Set, 222.59, Order Confirmed, Thu 23 Dec 2021 - 02:20:53 AM
Jordan 1 Mid Triple White 2.0 (2020), 554724-130, 10, 31422150-31321909, Not Set, 162.74, Verified & Shipped, Thu 23 Dec 2021 - 04:36:04 AM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 9, 31494564-31394323, Not Set, 135.14, Arrived At StockX, Thu 23 Dec 2021 - 05:12:57 AM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 11, 31472380-31372139, Not Set, 175.17, Arrived At StockX, Thu 23 Dec 2021 - 05:13:12 AM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 11.5, 31473649-31373408, Not Set, 186.50, Shipped To StockX, Thu 23 Dec 2021 - 05:25:08 AM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 10, 31499669-31399428, Not Set, 145.14, Arrived At StockX, Thu 23 Dec 2021 - 07:04:05 AM
Jordan 6 Retro Carmine (2021), CT8529-106, 9, 31574130-31473889, Not Set, 229.91, Order Confirmed, Thu 23 Dec 2021 - 07:19:29 AM
Jordan 1 Low Green Toe (GS), 553560-371, 7Y, 31500337-31400096, Not Set, 133.14, Arrived At StockX, Thu 23 Dec 2021 - 07:51:40 AM
adidas Yeezy Foam RNNR Ochre, GW3354, 13, 31487493-31387252, Not Set, 199.49, Arrived At StockX, Thu 23 Dec 2021 - 08:28:17 AM
adidas Yeezy Foam RNNR MX Sand Grey, GY3969, 11, 31492607-31392366, Not Set, 218.42, Arrived At StockX, Thu 23 Dec 2021 - 08:54:40 AM
adidas Yeezy Foam RNNR MX Sand Grey, GY3969, 13, 31457816-31357575, Not Set, 251.86, Arrived At StockX, Thu 23 Dec 2021 - 09:22:01 AM
Jordan 6 Retro Carmine 2021 (GS), 384665-106, 5Y, 31510901-31410660, Not Set, 115.14, Arrived At StockX, Thu 23 Dec 2021 - 09:31:57 AM
Nike Dunk High Syracuse (2021), DD1399-101, 9.5, 31578146-31477905, Not Set, 193.19, Order Confirmed, Thu 23 Dec 2021 - 09:33:59 AM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 12, 31493457-31393216, Not Set, 176.20, Arrived At StockX, Thu 23 Dec 2021 - 09:42:43 AM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 11, 31484025-31383784, Not Set, 173.14, Verified & Shipped, Thu 23 Dec 2021 - 10:33:45 AM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 11.5, 31487072-31386831, Not Set, 180.32, Arrived At StockX, Thu 23 Dec 2021 - 11:19:55 AM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 12, 31455981-31355740, Not Set, 185.47, Arrived At StockX, Thu 23 Dec 2021 - 11:21:48 AM
adidas Yeezy Boost 700 MNVN Blue Tint, GZ0711, 7, 31439461-31339220, Not Set, 209.01, Shipped To StockX, Thu 23 Dec 2021 - 12:24:30 PM
Jordan 13 Retro Gym Red Flint Grey (GS), 884129-600, 7Y, 31481074-31380833, Not Set, 129.14, Arrived At StockX, Thu 23 Dec 2021 - 12:53:42 PM
adidas Yeezy Boost 700 MNVN Blue Tint, GZ0711, 5, 31552903-31452662, Not Set, 177.66, Shipped To StockX, Thu 23 Dec 2021 - 12:56:26 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 14, 31554421-31454180, Not Set, 187.53, Shipped To StockX, Thu 23 Dec 2021 - 12:57:59 PM
Jordan 3 Retro Rust Pink (W), CK9246-600, 11.5W, 31345070-31244829, Not Set, 235.14, Verified & Shipped, Thu 23 Dec 2021 - 12:58:38 PM
adidas Yeezy Foam RNNR MX Sand Grey, GY3969, 13, 31506761-31406520, Not Set, 250.81, Arrived At StockX, Thu 23 Dec 2021 - 01:11:27 PM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 9, 31488198-31387957, Not Set, 135.14, Arrived At StockX, Thu 23 Dec 2021 - 01:28:24 PM
Jordan 13 Retro Obsidian Powder Blue White, 414571-144, 10.5, 31031336-30931095, Not Set, 175.71, Delivered, Thu 23 Dec 2021 - 01:31:32 PM
Jordan 6 Retro Carmine (2021), CT8529-106, 8.5, 31458573-31358332, Not Set, 207.97, Verified & Shipped, Thu 23 Dec 2021 - 07:36:00 PM
Jordan 14 Retro Winterized Archaeo Brown, DO9406-200, 11.5, 31605286-31505045, Not Set, 212.23, Order Confirmed, Thu 23 Dec 2021 - 07:44:04 PM
Jordan 13 Retro Obsidian Powder Blue White, 414571-144, 8.5, 30952851-30852610, Not Set, 176.74, Verified & Shipped, Thu 23 Dec 2021 - 08:11:36 PM
Nike Air Force 1 Low '07 Light Bone White, CT2302-001, 8, 31378564-31278323, Not Set, 98.14, Verified & Shipped, Thu 23 Dec 2021 - 08:31:17 PM
Jordan 13 Retro Obsidian Powder Blue White, 414571-144, 10, 31565763-31465522, Not Set, 178.07, Shipped To StockX, Thu 23 Dec 2021 - 08:35:05 PM
Jordan 1 Low Green Toe (GS), 553560-371, 6Y, 31597304-31497063, Not Set, 133.14, Shipped To StockX, Thu 23 Dec 2021 - 08:52:19 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 12, 31493457-31393216, Not Set, 176.20, Verified & Shipped, Thu 23 Dec 2021 - 08:58:04 PM
Nike Dunk Low Archeo Pink (W), DD1503-111, 8W, 31611753-31511512, Not Set, 178.71, Order Confirmed, Thu 23 Dec 2021 - 10:06:29 PM
Jordan 14 Retro Winterized Archaeo Brown, DO9406-200, 11.5, 31612107-31511866, Not Set, 212.23, Order Confirmed, Thu 23 Dec 2021 - 10:15:47 PM
Nike Dunk High Syracuse (2021), DD1399-101, 9.5, 31578146-31477905, Not Set, 193.19, Shipped To StockX, Thu 23 Dec 2021 - 10:20:29 PM
adidas Yeezy Foam RNNR MX Sand Grey, GY3969, 13, 31457816-31357575, Not Set, 251.86, Verified & Shipped, Thu 23 Dec 2021 - 10:25:38 PM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 12, 31554646-31454405, Not Set, 185.47, Shipped To StockX, Thu 23 Dec 2021 - 10:41:13 PM
Jordan 14 Retro Winterized Archaeo Brown, DO9406-200, 11.5, 31613597-31513356, Not Set, 212.23, Order Confirmed, Thu 23 Dec 2021 - 10:57:54 PM
Jordan 14 Retro Winterized Archaeo Brown, DO9406-200, 11.5, 31614873-31514632, Not Set, 212.23, Order Confirmed, Thu 23 Dec 2021 - 11:38:07 PM
Jordan 6 Retro Electric Green, CT8529-003, 11.5, 31458775-31358534, Not Set, 197.52, Verified & Shipped, Thu 23 Dec 2021 - 11:40:29 PM
Jordan 13 Retro Gym Red Flint Grey (GS), 884129-600, 6.5Y, 31244010-31143769, Not Set, 130.14, Arrived At StockX, Wed 22 Dec 2021 - 12:41:30 PM
Jordan 13 Retro Obsidian Powder Blue White, 414571-144, 10.5, 30989813-30889572, Not Set, 182.95, Verified & Shipped, Wed 22 Dec 2021 - 01:09:31 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 9.5, 31495149-31394908, Not Set, 160.14, Arrived At StockX, Wed 22 Dec 2021 - 01:13:57 PM
adidas Yeezy Foam RNNR Ochre, GW3354, 11, 31494962-31394721, Not Set, 184.79, Shipped To StockX, Wed 22 Dec 2021 - 01:55:31 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 9, 31540096-31439855, Not Set, 156.14, Order Confirmed, Wed 22 Dec 2021 - 02:09:37 PM
Jordan 12 Retro Black University Gold, 130690-070, 8, 31207901-31107660, Not Set, 224.34, Arrived At StockX, Wed 22 Dec 2021 - 02:42:18 PM
Supreme Spalding Washington Basketball White, Not Found, </li>

<li class="attributes" style="list-style-type: none; margin: 0;"><span style="font-weight: 500;">Condition:</span>&nbsp;New, 100% Authentic, Not Found, Not Set, Not Found, Arrived At StockX, Wed 22 Dec 2021 - 02:47:38 PM
Jordan 5 Retro Shattered Backboard, DC1060-100, 10.5, 31050059-30949818, Not Set, 186.06, Delivered, Wed 22 Dec 2021 - 02:49:23 PM
adidas Yeezy Boost 700 MNVN Honey Flux, GZ0717, 7.5, 31119258-31019017, Not Set, 176.74, Delivered, Wed 22 Dec 2021 - 02:49:32 PM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 11, 31484025-31383784, Not Set, 173.14, Shipped To StockX, Wed 22 Dec 2021 - 02:52:45 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 12, 31493457-31393216, Not Set, 176.20, Shipped To StockX, Wed 22 Dec 2021 - 02:53:55 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 10, 31485717-31385476, Not Set, 164.14, Shipped To StockX, Wed 22 Dec 2021 - 02:53:59 PM
Jordan 1 Low Team Red (W), DC0774-116, 6W, 31300265-31200024, Not Set, 209.01, Arrived At StockX, Wed 22 Dec 2021 - 02:58:33 PM
Jordan 1 Low Green Toe (GS), 553560-371, 5.5Y, 31543015-31442774, Not Set, 135.14, Order Confirmed, Wed 22 Dec 2021 - 03:03:03 PM
adidas Yeezy 700 V3 Copper Fade, GY4109, 9.5, 31262373-31162132, Not Set, 147.71, Verified & Shipped, Wed 22 Dec 2021 - 03:03:20 PM
Jordan 6 Retro Carmine (2021), CT8529-106, 8, 31526317-31426076, Not Set, 232.00, Shipped To StockX, Wed 22 Dec 2021 - 03:16:15 PM
Nike Dunk Low Archeo Pink (W), DD1503-111, 9.5W, 30530050-30429809, Not Set, 174.18, Delivered, Wed 22 Dec 2021 - 03:25:45 PM
Nike Dunk Low Archeo Pink (W), DD1503-111, 9.5W, 30530067-30429826, Not Set, 175.23, Delivered, Wed 22 Dec 2021 - 03:25:58 PM
Nike Dunk Low Archeo Pink (W), DD1503-111, 10W, 30525229-30424988, Not Set, 178.36, Delivered, Wed 22 Dec 2021 - 03:26:03 PM
Nike Dunk Low Archeo Pink (W), DD1503-111, 9.5W, 30525249-30425008, Not Set, 178.36, Delivered, Wed 22 Dec 2021 - 03:26:07 PM
Nike Dunk Low Archeo Pink (W), DD1503-111, 9W, 30526032-30425791, Not Set, 177.32, Delivered, Wed 22 Dec 2021 - 03:26:08 PM
Nike Dunk Low Archeo Pink (W), DD1503-111, 9.5W, 30661052-30560811, Not Set, 173.14, Delivered, Wed 22 Dec 2021 - 03:26:08 PM
Jordan 5 Retro Alternate Grape, 136027-500, 12, 31545140-31444899, Not Set, 261.26, Order Confirmed, Wed 22 Dec 2021 - 03:43:01 PM
Jordan 13 Retro Gym Red Flint Grey (GS), 884129-600, 4.5Y, 30672411-30572170, Not Set, 105.02, Delivered, Wed 22 Dec 2021 - 03:48:36 PM
Jordan 6 Retro Carmine 2021 (GS), 384665-106, 7Y, 31301617-31201376, Not Set, 137.14, Arrived At StockX, Wed 22 Dec 2021 - 04:22:16 PM
Jordan 13 Retro Gym Red Flint Grey (GS), 884129-600, 6.5Y, 31244010-31143769, Not Set, 130.14, Refund Issued, Wed 22 Dec 2021 - 04:27:31 PM
Jordan 6 Retro Carmine 2021 (GS), 384665-106, 5Y, 31510901-31410660, Not Set, 115.14, Shipped To StockX, Wed 22 Dec 2021 - 04:51:17 PM
adidas Yeezy 700 V3 Copper Fade, GY4109, 9.5, 31429018-31328777, Not Set, 157.07, Arrived At StockX, Wed 22 Dec 2021 - 04:59:37 PM
Jordan 1 Low Green Toe (GS), 553560-371, 5.5Y, 31543015-31442774, Not Set, 135.14, Shipped To StockX, Wed 22 Dec 2021 - 05:01:44 PM
Jordan 1 Low Green Toe (GS), 553560-371, 5.5Y, 31543015-31442774, Not Set, 135.14, Arrived At StockX, Wed 22 Dec 2021 - 05:01:52 PM
Jordan 6 Retro Carmine (2021), CT8529-106, 9.5, 31478525-31378284, Not Set, 235.14, Arrived At StockX, Wed 22 Dec 2021 - 05:49:53 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 9, 31540096-31439855, Not Set, 156.14, Shipped To StockX, Wed 22 Dec 2021 - 05:56:32 PM
Nike Dunk Low University Gold (W), DQ4690-800, 10W, 31483529-31383288, Not Set, 145.63, Shipped To StockX, Wed 22 Dec 2021 - 06:04:50 PM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 9, 31451908-31351667, Not Set, 133.14, Shipped To StockX, Wed 22 Dec 2021 - 06:19:41 PM
Jordan 13 Retro Gym Red Flint Grey (GS), 884129-600, 7Y, 31481074-31380833, Not Set, 129.14, Shipped To StockX, Wed 22 Dec 2021 - 06:19:46 PM
adidas Yeezy Boost 700 MNVN Blue Tint, GZ0711, 5, 31552903-31452662, Not Set, 177.66, Order Confirmed, Wed 22 Dec 2021 - 06:46:11 PM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 10, 31553313-31453072, Not Set, 145.14, Order Confirmed, Wed 22 Dec 2021 - 06:55:26 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 14, 31554421-31454180, Not Set, 187.53, Order Confirmed, Wed 22 Dec 2021 - 07:21:41 PM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 12, 31554646-31454405, Not Set, 185.47, Order Confirmed, Wed 22 Dec 2021 - 07:27:26 PM
Jordan 1 Mid Triple White 2.0 (2020), 554724-130, 10, 31422150-31321909, Not Set, 162.74, Arrived At StockX, Wed 22 Dec 2021 - 08:31:40 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 11.5, 31487072-31386831, Not Set, 180.32, Shipped To StockX, Wed 22 Dec 2021 - 08:50:17 PM
adidas Yeezy Foam RNNR MX Sand Grey, GY3969, 13, 31493698-31393457, Not Set, 251.86, Shipped To StockX, Wed 22 Dec 2021 - 08:55:11 PM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 9, 31497843-31397602, Not Set, 136.14, Verified & Shipped, Wed 22 Dec 2021 - 08:55:25 PM
Jordan 6 Retro Carmine (2021), CT8529-106, 9, 31505650-31405409, Not Set, 226.78, Verified & Shipped, Wed 22 Dec 2021 - 09:04:39 PM
Nike Dunk High Syracuse (2021), DD1399-101, 9, 31559565-31459324, Not Set, 173.24, Order Confirmed, Wed 22 Dec 2021 - 09:27:53 PM
Jordan 3 Retro Rust Pink (W), CK9246-600, 6.5W, 31458479-31358238, Not Set, 154.67, Verified & Shipped, Wed 22 Dec 2021 - 11:06:50 PM
Jordan 6 Retro Carmine (2021), CT8529-106, 9, 31504129-31403888, Not Set, 229.91, Shipped To StockX, Wed 22 Dec 2021 - 11:09:58 PM
adidas Yeezy Foam RNNR MX Sand Grey, GY3969, 13, 31450161-31349920, Not Set, 251.86, Shipped To StockX, Tue 21 Dec 2021 - 12:46:05 AM
adidas Yeezy 700 V3 Copper Fade, GY4109, 9.5, 31429018-31328777, Not Set, 157.07, Shipped To StockX, Tue 21 Dec 2021 - 03:02:04 AM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 12, 31471148-31370907, Not Set, 186.50, Order Confirmed, Tue 21 Dec 2021 - 03:32:26 AM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 11, 31472380-31372139, Not Set, 175.17, Order Confirmed, Tue 21 Dec 2021 - 04:58:21 AM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 12, 31473148-31372907, Not Set, 176.20, Order Confirmed, Tue 21 Dec 2021 - 05:48:38 AM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 11.5, 31473362-31373121, Not Set, 186.50, Order Confirmed, Tue 21 Dec 2021 - 06:01:33 AM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 11.5, 31473649-31373408, Not Set, 186.50, Order Confirmed, Tue 21 Dec 2021 - 06:17:23 AM
Jordan 6 Retro Carmine (2021), CT8529-106, 8.5, 31473818-31373577, Not Set, 226.78, Order Confirmed, Tue 21 Dec 2021 - 06:25:56 AM
Jordan 6 Retro Carmine (2021), CT8529-106, 9, 31381910-31281669, Not Set, 279.03, Verified & Shipped, Tue 21 Dec 2021 - 07:02:22 AM
Jordan 6 Retro Electric Green, CT8529-003, 11.5, 31458775-31358534, Not Set, 197.52, Shipped To StockX, Tue 21 Dec 2021 - 07:03:21 AM
Jordan 3 Retro Rust Pink (W), CK9246-600, 6.5W, 31458479-31358238, Not Set, 154.67, Shipped To StockX, Tue 21 Dec 2021 - 07:05:17 AM
Jordan 6 Retro Carmine (2021), CT8529-106, 8.5, 31458573-31358332, Not Set, 207.97, Shipped To StockX, Tue 21 Dec 2021 - 07:05:24 AM
adidas Yeezy 700 V3 Copper Fade, GY4109, 9.5, 31262373-31162132, Not Set, 147.71, Arrived At StockX, Tue 21 Dec 2021 - 07:24:43 AM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 8.5, 31475582-31375341, Not Set, 158.14, Order Confirmed, Tue 21 Dec 2021 - 07:59:49 AM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 12, 31475802-31375561, Not Set, 176.20, Order Confirmed, Tue 21 Dec 2021 - 08:09:01 AM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 11, 31476399-31376158, Not Set, 175.17, Order Confirmed, Tue 21 Dec 2021 - 08:35:14 AM
Jordan 6 Retro Carmine (2021), CT8529-106, 9.5, 31478525-31378284, Not Set, 235.14, Order Confirmed, Tue 21 Dec 2021 - 09:35:04 AM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 10.5, 31479761-31379520, Not Set, 162.14, Order Confirmed, Tue 21 Dec 2021 - 10:01:28 AM
Nike Air VaporMax Plus Pink Oxford (W), DM8327-600, 9.5W, Not Found, Not Set, Not Found, Arrived At StockX, Tue 21 Dec 2021 - 10:21:37 AM
Nike Air Force 1 Low '07 White Black Pebbled Leather, CT2302-100, 10.5, Not Found, Not Set, Not Found, Arrived At StockX, Tue 21 Dec 2021 - 10:21:47 AM
Nike Air Force 1 Low '07 White Black Pebbled Leather, CT2302-100, 10, Not Found, Not Set, Not Found, Arrived At StockX, Tue 21 Dec 2021 - 10:21:55 AM
Nike Air Force 1 Low '07 White Black Pebbled Leather, CT2302-100, 9.5, Not Found, Not Set, Not Found, Arrived At StockX, Tue 21 Dec 2021 - 10:22:00 AM
Nike Air Force 1 Low '07 White Black Pebbled Leather, CT2302-100, 10.5, Not Found, Not Set, Not Found, Arrived At StockX, Tue 21 Dec 2021 - 10:22:08 AM
Nike Air Force 1 Low '07 White Black Pebbled Leather, CT2302-100, 8, Not Found, Not Set, Not Found, Arrived At StockX, Tue 21 Dec 2021 - 10:22:18 AM
adidas Yeezy QNTM Amber Tint, GX1331, 9.5, Not Found, Not Set, Not Found, Arrived At StockX, Tue 21 Dec 2021 - 10:32:52 AM
Nike Air Force 1 Low White '07, 315122-111/CW2288-111, 12.5, Not Found, Not Set, Not Found, Arrived At StockX, Tue 21 Dec 2021 - 10:33:25 AM
adidas Yeezy QNTM Amber Tint, GX1331, 6, Not Found, Not Set, Not Found, Arrived At StockX, Tue 21 Dec 2021 - 10:34:09 AM
Jordan 13 Retro Gym Red Flint Grey (GS), 884129-600, 7Y, 31481074-31380833, Not Set, 129.14, Order Confirmed, Tue 21 Dec 2021 - 10:36:51 AM
Nike Overbreak SP Pollen Rise, DA9784-201, 7, Not Found, Not Set, Not Found, Arrived At StockX, Tue 21 Dec 2021 - 10:46:24 AM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 13, 31481776-31381535, Not Set, 185.47, Order Confirmed, Tue 21 Dec 2021 - 10:55:36 AM
Jordan 6 Retro Carmine (2021), CT8529-106, 9, 31378663-31278422, Not Set, 224.69, Verified & Shipped, Tue 21 Dec 2021 - 11:01:57 AM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 12, 31482464-31382223, Not Set, 187.53, Order Confirmed, Tue 21 Dec 2021 - 11:12:42 AM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 12, 31482584-31382343, Not Set, 176.20, Order Confirmed, Tue 21 Dec 2021 - 11:15:56 AM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 14, 31482602-31382361, Not Set, 187.53, Order Confirmed, Tue 21 Dec 2021 - 11:16:21 AM
Nike Dunk Low University Gold (W), DQ4690-800, 10W, 31483529-31383288, Not Set, 145.63, Order Confirmed, Tue 21 Dec 2021 - 11:35:08 AM
Jordan 1 Mid Triple White 2.0 (2020), 554724-130, 10, 31422150-31321909, Not Set, 162.74, Shipped To StockX, Tue 21 Dec 2021 - 11:45:45 AM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 11, 31484025-31383784, Not Set, 173.14, Order Confirmed, Tue 21 Dec 2021 - 11:47:28 AM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 10.5, 31484335-31384094, Not Set, 160.14, Order Confirmed, Tue 21 Dec 2021 - 11:55:18 AM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 13, 31485449-31385208, Not Set, 185.47, Order Confirmed, Tue 21 Dec 2021 - 12:21:45 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 10, 31485717-31385476, Not Set, 164.14, Order Confirmed, Tue 21 Dec 2021 - 12:28:13 PM
adidas Yeezy Boost 700 MNVN Honey Flux, GZ0717, 11, 31459644-31359403, Not Set, 191.53, Shipped To StockX, Tue 21 Dec 2021 - 12:37:45 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 11.5, 31473362-31373121, Not Set, 186.50, Shipped To StockX, Tue 21 Dec 2021 - 12:50:53 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 11.5, 31487072-31386831, Not Set, 180.32, Order Confirmed, Tue 21 Dec 2021 - 01:00:33 PM
adidas Yeezy Foam RNNR Ochre, GW3354, 13, 31487493-31387252, Not Set, 199.49, Order Confirmed, Tue 21 Dec 2021 - 01:08:35 PM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 9, 31488198-31387957, Not Set, 135.14, Order Confirmed, Tue 21 Dec 2021 - 01:19:59 PM
Jordan 5 Retro White Stealth (2021), DD0587-140, 8, 30663832-30563591, Not Set, 188.81, Delivered, Tue 21 Dec 2021 - 01:35:22 PM
Nike Dunk Low Archeo Pink (W), DD1503-111, 10.5W, 30428242-30328001, Not Set, 177.32, Delivered, Tue 21 Dec 2021 - 01:36:24 PM
Nike Dunk Low Archeo Pink (W), DD1503-111, 10W, 30428228-30327987, Not Set, 180.45, Delivered, Tue 21 Dec 2021 - 01:36:24 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 12, 31489957-31389716, Not Set, 176.20, Order Confirmed, Tue 21 Dec 2021 - 01:48:32 PM
adidas Yeezy Foam RNNR MX Sand Grey, GY3969, 11, 31492607-31392366, Not Set, 218.42, Order Confirmed, Tue 21 Dec 2021 - 02:44:57 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 12, 31493457-31393216, Not Set, 176.20, Order Confirmed, Tue 21 Dec 2021 - 03:05:08 PM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 9, 31493473-31393232, Not Set, 135.14, Order Confirmed, Tue 21 Dec 2021 - 03:05:49 PM
